"AMA INA","Basin","Subbasin","YEAR","Owner or BMP Operator","Right Number","Right Type","Well Id","CADASTRAL","AF Pumped","Movement Type","Water Type","LAT_DEGREES","LAT_MINUTES","LAT_SECONDS","LONG_DEGREES","LONG_MINUTES","LONG_SECONDS","PROGRAM"
"PHOENIX AMA","PHOENIX AMA","HASSAYAMPA","2020","STOTZ DAIRY","59-219101.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","084785","B-01-04 18AAC","79.26","WITHDRAWAL","GROUNDWATER","33","25","56.29","112","41","40.9","59"
"PHOENIX AMA","PHOENIX AMA","HASSAYAMPA","2020","STOTZ DAIRY","59-219101.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","084786","B-01-04 18AAD","123.96","WITHDRAWAL","GROUNDWATER","33","25","56.29","112","41","40.9","59"
"HARQUAHALA VALLEY INA","HARQUAHALA INA","HARQUAHALA","2020","CV HARQUAHALA LLC, AN ARIZONA LIMITED LIABILITY COMPANY","60-201119.0007","IRRIGATION USE","085118","B-01-08 07CBB","1925.288","WITHDRAWAL","GROUNDWATER","","","","","","","60"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","2020","RINCON MESA LANDOWNER'S ASSN","91-000472.0000","SMALL COMMUNITY WATER SYSTEM","085141","D-15-16 33AAC","9.182","WITHDRAWAL","GROUNDWATER","","","","","","","91"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","2020","CITY OF EL MIRAGE","56-002016.0000","LARGE MUNICIPAL PROVIDER","085252","B-03-01 13BAA","1045.14","WITHDRAWAL","GROUNDWATER","33","36","30","112","18","56","56"
"NOT WITHIN ANY AMA OR INA","GILA BEND","GILA BEND","2020","PALOMA RANCH","91-000262.0000","SMALL COMMUNITY WATER SYSTEM","085270","C-06-06 10BCB","360","WITHDRAWAL","GROUNDWATER","","","","","","","91"
"PINAL AMA","PINAL AMA","MARICOPA-STANFIELD","2020","D.A. HOLDINGS, L.L.C.","58-107768.0004","TYPE 1 GFR","085518","D-04-03 17DCB","43.38","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PINAL AMA","PINAL AMA","ELOY","2020","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","085622","D-08-07 11ADD","159.15","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PINAL AMA","PINAL AMA","MARICOPA-STANFIELD","2020","MARICOPA STANFIELD IRRIGATION","57-001103.0000","IRRIGATION DISTRICT (SW & GW)","085665","D-06-03 34AAA","1497.8","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PHOENIX AMA","PHOENIX AMA","HASSAYAMPA","2020","STOTZ DAIRY","59-219101.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","085683","B-01-04 18AAC","41.14","WITHDRAWAL","GROUNDWATER","33","25","56.4","112","41","47.8","59"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","2020","PIMA COUNTY PARKS & RECREATION","58-100379.0004","TYPE 2 NON-IRRIGATION GFR","085744","D-12-13 19ADA","34","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","2020","ARNOLD ANGLIN DAIRY","58-104295.0002","TYPE 2 NON-IRRIGATION GFR","085994","D-02-07 14AB","1.164","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","2020","","74-560621.0007","RECOVERY WELL PERMITS","086158","D-12-12 21ADB","1.16","RECOVERED","CAP WATER RECOVERED","32","22","33","111","7","4","74"
